,medianRank.qual,propVarExplained.qual,meanSignAwareKME.qual,meanSignAwareCorDat.qual,meanAdj.qual,meanMAR.qual,medianRank.pres,medianRankDensity.pres,medianRankConnectivity.pres,propVarExplained.pres,meanSignAwareKME.pres,meanSignAwareCorDat.pres,meanAdj.pres,meanMAR.pres,cor.kIM,cor.kME,cor.kMEall,cor.cor,cor.MAR
black,38,0.303116719142674,0.533575930181138,0.291223755473522,0.00683996683208933,0.0499881745562683,11,15,9,0.247524242542412,0.343123748915671,0.119146054925586,0.00850971227755116,0.0631130376703649,0.792886516332333,0.69774434921904,0.3161916314923,0.464465815475829,0.782650780276745
blue,37.5,0.302741105522653,0.536715838809277,0.294745463251652,0.00588135501925103,0.0429068381117399,13,9,14,0.254992469944037,0.428474504508798,0.172998949575769,0.00511713702425001,0.040736407324207,0.398082631527941,0.584805003557448,0.472667986845692,0.388979319008717,0.637876003020584
brown,33,0.32131789725,0.55462546344074,0.310889252301965,0.00672831779808639,0.0422952896037782,33,32.5,38,0.126151671531112,0.212353634845124,0.0478065753209756,0.00104252231315109,0.0301192055226164,-0.00310302567445782,0.0116828078671323,0.083287006703226,0.0451003105222536,0.57094247986206
cyan,22,0.355430908795921,0.582945215340058,0.340777053309554,0.00986159180856275,0.0485196788064112,37,38.5,31,0.0889936040986088,0.13836652552193,0.0328396815052865,0.000743140441982971,0.0272460016044276,0.123469504347815,0.162890486505454,0.010150353788625,0.0372189350057302,0.423143094312887
darkgreen,18.5,0.35776608615022,0.58877619782313,0.34556640316117,0.00928984117271845,0.0512133409524478,32,28,36,0.143805683642541,0.239499528644695,0.0576315806405955,0.00123980917407401,0.0371734292481651,0.0981039590836148,0.0426853716592915,0.182749064994714,0.0226681817435136,0.643835378924977
darkgrey,18.5,0.358997567254472,0.586057277491727,0.342590345500185,0.0114451257396035,0.0641745401517712,7,10,7,0.272025380148053,0.359471043822958,0.133696727457173,0.0131203863142346,0.0917365903375096,0.721299442310195,0.695359578070227,0.410599914579254,0.4976110370115,0.827044233339202
darkmagenta,15,0.366902354232598,0.592247273233091,0.348149838458294,0.0132965007053839,0.0998063112596646,14,18,13,0.198383634699462,0.28495909686053,0.0980687699120714,0.00859059200104037,0.11781932113962,0.83966209386598,0.587161575697613,0.298134966291126,0.360600315528291,0.849614075697822
darkolivegreen,6,0.402357244407485,0.62562086242524,0.387188810498755,0.0145714221311903,0.0783330577445891,12,12.5,4,0.25159765612767,0.392589947536915,0.151898739533213,0.00546819129334891,0.0728027074260008,0.380238676893923,0.719335700218519,0.369723873813549,0.528245228090335,0.614026037369934
darkorange,12,0.37686434135241,0.597711181636649,0.356093497111118,0.015529124629478,0.08657879768188,31,30,34,0.120959679026136,0.228255827048593,0.0530075973874212,0.00305432037723079,0.0883159637174492,0.611685815031861,0.00323073241971455,0.309669992128794,0.044003083018809,0.775006431899014
darkred,35,0.31264090285914,0.54037365164404,0.295916352601052,0.00936937971085668,0.0838255661506738,23,26.5,22,0.144456559690476,0.238096889175127,0.0599032842633334,0.00458751071800911,0.0851806738796889,0.979501392802266,0.398477647766911,0.210641911352767,0.233312298815102,0.967220482804142
darkturquoise,14.5,0.362276993452129,0.59448246392725,0.351583865372765,0.00923349432416927,0.0534903445025093,25,24,33,0.179024294751713,0.261740239778524,0.0693177471771256,0.0023513461229497,0.0483715326032255,0.11017105549702,0.0617758890834063,0.2081453894076,0.0665410657832654,0.885911965540914
gold,40,0.0846630143503057,0.232055030077584,0.164265585992145,0.000958441918950262,0.0258852710755848,30,35,28,0.140246714936786,0.103531671122417,0.0242268648590291,0.00132543148917327,0.0261256699289541,0.254621486398693,0.270183919580886,0.267706701035382,0.128182203160844,0.433614361131836
green,28.5,0.334937051142903,0.559892764414693,0.31771819453309,0.0104328516898088,0.0639683293690672,22,22,15,0.176663441969652,0.274140858965466,0.0778120262959666,0.00308921901713329,0.0619562910942676,0.680380697980829,0.565066352034168,0.31668295695939,0.334569478196084,0.783709053220199
greenyellow,26,0.336407791958268,0.56891816071162,0.324778324974395,0.00759133418876138,0.0427456359897851,31,32,31,0.110355710170429,0.249952217747494,0.0607833976510589,0.000812683538524307,0.0225106876038366,0.0741154995269107,0.1452091726254,0.162865133422252,0.059067387204176,0.151298172704156
grey,41,0.0704571977957465,0.216922145064022,0.154912582691415,0.000668491797376192,0.0223588968731988,35,35.5,29,0.118856358374065,0.155356168972955,0.0156069880082008,0.000873463757521575,0.0205974066859501,0.183424317324233,0.345844463182964,0.294819644616105,0.0742150477938347,0.556018991913741
grey60,31,0.329226795358623,0.5572558777214,0.314655025450433,0.00984068509920459,0.0653138337956602,16,16.5,12,0.202320927692898,0.325860643470477,0.105990304748426,0.00674798733108692,0.0704554063042478,0.811389553835956,0.599626164190302,0.340605746624135,0.3373062874312,0.836707559382172
lightcyan,29.5,0.330202732000279,0.562513830051214,0.318430617001283,0.00830757052136791,0.0548593506028208,10,11,10,0.250381666524699,0.401348030882249,0.15699255762001,0.00745887408752751,0.0642782975946566,0.840770570154805,0.653090920317125,0.401702028239098,0.437027916988655,0.712184131706035
lightgreen,9,0.3822482142647,0.609877750546094,0.370438754925329,0.0121041505997875,0.0579347014582056,7,7,7,0.257962328914192,0.440609157069493,0.192661787038417,0.00607779131078553,0.0488986711204778,0.560695340856088,0.68922884165151,0.363273346216948,0.501676281317385,0.689200525628931
lightyellow,20,0.356454729113749,0.584652762517441,0.342221514082156,0.010251954182702,0.0583318016543683,12,10.5,19,0.255917332926261,0.363219314818617,0.152669764463598,0.0093967258178017,0.0748857114405504,0.551527687692399,0.457063986884561,0.347626422040895,0.396983767227316,0.823609610600505
magenta,24.5,0.348273725328861,0.57295434530666,0.33093638356958,0.0111983044177371,0.0682174772934433,5,5,2,0.30210975889645,0.442661300133767,0.192809876219286,0.0137932230210134,0.0846786378822923,0.619220152540227,0.813366701863553,0.402736434700971,0.627492491218213,0.768591063465523
midnightblue,22.5,0.35316185900392,0.578803032598452,0.337595249028977,0.0121350739499001,0.0693975102778766,23,21.5,24,0.179358236375257,0.265991769209867,0.084449911933789,0.00297708057952036,0.0667428489885434,0.508066771404556,0.251692125340465,0.238157481535067,0.240076332429022,0.690346780665944
orange,10,0.38088164922822,0.609568633228464,0.368997653549682,0.0106658045254409,0.0505611081781827,34,36,32,0.0910338265078316,0.208333472271341,0.0398346235109256,0.000781941195817814,0.0357644365067845,0.363441973315008,0.134196832951245,0.117924573126396,0.00187401723623598,0.595939548308652
orangered4,1,0.467870421463979,0.678478228699955,0.448766712366005,0.0224415279820812,0.0711257087132916,41,40,41,0.0917586210869995,0.116999878912731,0.0133007761128387,0.000358997109102946,0.00575301516032037,-0.167161937650573,0.285138219846077,0.0312021388738253,-0.0801791734985587,-0.0665783180043806
paleturquoise,8,0.392556660309462,0.619195922960955,0.380151855646728,0.0124462266226613,0.0627284805500098,15,10.5,16,0.249962888067478,0.432359469027486,0.18222546182646,0.00495998915649446,0.0597453189766954,0.551982555037521,0.532586953488102,0.358946283068945,0.357055557655979,0.623605186293665
pink,29,0.332707339799348,0.562251252152691,0.319107781098428,0.00823773886128667,0.0461899276060781,28,26.5,30,0.145696019308758,0.237320194072795,0.0630486989422335,0.00141141869828638,0.0295184264492912,0.180563062021169,0.162819699040756,0.138266343119174,0.129627813987603,0.389815363437929
plum1,3,0.431242706719858,0.647395006135702,0.410553248940649,0.0205681614351539,0.0891426971367443,16,13.5,20,0.254976000884542,0.325077374786445,0.108513400249532,0.0120899369690098,0.0947517964033795,0.842942527711643,0.410032786493292,0.07603075774401,0.274853902127789,0.875547425334305
purple,22,0.352623642898659,0.583929703629339,0.341354757513291,0.00878742855568526,0.0490537204595504,36,34,40,0.11307722319412,0.224871251626526,0.0502440809268114,0.000840223134767936,0.0286110567809812,-0.00748881664447288,0.124672862550033,0.0631646751413755,-0.0167539830996772,0.849901420562321
red,27.5,0.332873990717871,0.566037818574003,0.323488320511952,0.00772199433681376,0.0531137663202383,4,2,9,0.350433533768345,0.531413773960816,0.271572926759235,0.0139681300864597,0.0625446080580193,0.64461018704975,0.663157964391227,0.522603587826153,0.47433015668484,0.581700064297678
royalblue,24.5,0.342232184353588,0.575378748207689,0.331025678318817,0.00811114074260633,0.0485044370688323,24,24.5,24,0.142069969133631,0.292102499411321,0.083298605187309,0.0015425952251996,0.0338316248911674,0.666526726548759,0.309408357722915,0.248046452716052,0.147465375123781,0.7910553997987
saddlebrown,13.5,0.36883520938902,0.594372382598024,0.351577530406975,0.0122022405661135,0.0752492724573727,5,4,7,0.324282214076136,0.441189788643655,0.193865547652306,0.016644040936544,0.100382628052026,0.816855530396177,0.672257346941556,0.425286811186857,0.52562013787369,0.723688012010658
salmon,38,0.303839932012509,0.530395247739296,0.288270403163197,0.00837685212385944,0.0585479329794584,19,22.5,18,0.182627658895192,0.221156409108852,0.0618869951891151,0.0053194750024653,0.058601857914631,0.915898178696839,0.469873349071361,0.176556030741375,0.286644020838357,0.878966505883742
sienna3,4,0.419544081881245,0.640076025126042,0.403082074472569,0.0159318831922022,0.071066511969745,28,29,28,0.143157732915125,0.0776413085327976,0.0575109776113158,0.00224621495349535,0.0502976634999214,0.113410122823387,0.191757393774101,0.0434550057533814,0.158909022351103,0.7286855082987
skyblue,17,0.361906704220754,0.589741907836273,0.347249915625839,0.0119633153302303,0.0825630842266202,9,8.5,11,0.271859817653813,0.417215893178817,0.169799741459357,0.0104672436668671,0.0923813709061396,0.709918520610502,0.638862660765262,0.415217198431136,0.460365794639101,0.841087394622703
skyblue3,2,0.457101556755296,0.66670049029985,0.436087291929352,0.0263092406477183,0.100588255004879,3,3,20,0.347721418320997,0.474531637541442,0.219879605784908,0.0320521168759204,0.152033654132915,0.561633578316223,0.409435577021658,0.278964150390439,0.312592832569135,0.673816349728628
steelblue,11,0.377397032451477,0.603912821333199,0.361933717851147,0.0113818913554785,0.0560868991800458,11,13,3,0.236305878225494,0.39410454200395,0.152676852362479,0.00583147313633188,0.0640488560933042,0.644156530281418,0.856151953950164,0.484095939172126,0.605175532048736,0.666374960146864
tan,34,0.318496737929137,0.552444053152707,0.307133255608165,0.00668367281384935,0.0450930932727356,38,37,38,0.107556529871755,0.17462113809472,0.0334004382140684,0.000758318314166253,0.0254483621760534,0.0121989235172211,0.010414287171246,0.108629952119892,0.0225379773692969,0.494770177385571
turquoise,36.5,0.30728628981346,0.535065237640801,0.293902968820822,0.00687433522406192,0.0408714789250578,34,33.5,34,0.134971854231432,0.191301203429316,0.0396065597785033,0.00109876289689297,0.0237674467105586,0.0407360251416714,0.0769758616332141,0.186320555500667,0.0580431506603367,0.321142898545866
violet,5,0.415887485387339,0.634485752298304,0.398486338841078,0.0177909483462338,0.0790688130771426,1,1,3,0.490379146656394,0.590100765692258,0.343498327717168,0.0757314310368478,0.173487728696897,0.693492149877386,0.747807064222552,0.366925426527827,0.647675597104785,0.707945797439794
white,15,0.363406728372546,0.592637260562166,0.349262721538708,0.0100721999705659,0.0556967479413098,29,21.5,37,0.152932528047452,0.299044998018806,0.0861087216123306,0.00147866161764208,0.0267828104877262,0.00231521004650344,0.0328400199260549,0.362577559424908,0.0391081927816676,0.805792388328685
yellow,32,0.328012103885342,0.555562210332447,0.313250613121138,0.00887383913332571,0.0567853589667904,27,32.5,24,0.159512654406075,0.037160306219623,0.0287965700062351,0.00210217742305714,0.0531263263731691,0.578606362583882,0.00617099218188364,0.0726160902220257,0.164777634018637,0.6438078162523
yellowgreen,7,0.402027699622988,0.62440898783961,0.383245861630065,0.0160457570426149,0.0841396442699782,21,22,17,0.125932183571839,0.27986250177219,0.0751174703614265,0.0035286931621866,0.0690124087190723,0.843141069903349,0.5112074481587,0.247794742771426,0.269057261321978,0.916175958256673
